2026-07-18T17:31:45.162635Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784395905.1626353 | PULSE | Φ=0.18 | SOVEREIGN | Zombie Pulse
1784396534.770709 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
1784397028.7365816 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784397028.7365816 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784397591.8867395 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784397796.2415578 | PULSE | Φ=0.18 | SOVEREIGN | Zombie Pulse
2026-07-18T18:06:05.044947Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784398246.9826348 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784398346.243557 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784398791.9675019 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784399125.724606 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784399311.361608 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784399704.805322 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784400053.5045192 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784400081.5292292 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784400431.3947427 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784400944.9496715 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784401006.040909 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784401006.040909 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784401834.7258663 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
2026-07-18T19:10:34.725866Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784402101.1666508 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784402282.914334 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784402725.9696617 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784403048.671669 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784403362.8494928 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
