source_id,ra,dec,g_mag,parallax_true_mas,parallax_obs_mas,parallax_sigma_mas,pm_sigma_mas,house,dataset,z
J000000+000000,0.0,0.0,14.129219231312163,1.0,0.9991792841635412,0.015069067240216089,0.008740058999325331,Aleph,SDSS,
J000000+000000,0.0,0.0,14.144066511944402,1.0,1.0102250903014407,0.015163826167371247,0.008795019177075323,Aleph,SDSS,
J011739+014659,19.412146000000007,1.7830064,17.04915650561452,0.2318438048203709,0.2529831682421357,0.06098238795880984,0.03536978501610971,Aleph,SDSS,-0.0033132487442344427
J152056+525102,230.23156091346004,52.85051519566922,20.80647087097168,0.05,-1.1402377173348428,0.9153237375718281,0.5308877677916601,Lambda,SDSS,1.0156927108764648
J114836+580035,177.15139007351678,58.00968707711764,22.55457878112793,0.05,6.683312281517076,4.3682979196925675,2.533612793421689,Mu,SDSS,0.7287762761116028
J122927+391719,187.3633059668183,39.288524769420164,19.03346061706543,0.05,0.2641735599484603,0.21637546034795765,0.12549776700181542,C_plit,SDSS,3.6078009605407715
J115353+580515,178.471538786731,58.08736889412257,21.973134994506836,0.05,0.7662299724019453,2.57932749349449,1.496009946226804,Mu,SDSS,1.237969994544983
J000000+000000,0.0,0.0,18.808988384203985,1.0,0.9175656559381895,0.18376348719052896,0.10658282257050679,Aleph,SDSS,
J130512+234629,196.29844884781448,23.77472283482245,21.38459587097168,0.05,1.5143505045020182,1.5222472871165036,0.882903426527572,C_plit,SDSS,0.6061385273933411
J000000+000000,0.0,0.0,18.841494409774896,1.0,0.844331211759406,0.1881015058458806,0.10909887339061074,Aleph,SDSS,
J000000+000000,0.0,0.0,13.760035799408797,1.0,1.0069174715988438,0.012938146799803152,0.007504125143885827,Aleph,SDSS,
J000000+000000,0.0,0.0,17.29762745957123,1.0,1.0860443113789024,0.07004662879166576,0.040627044699166136,Aleph,SDSS,
J000000+000000,0.0,0.0,14.077560734469444,1.0,1.007661448105882,0.014745113838405408,0.008552166026275137,Aleph,SDSS,
J000000+000000,0.0,0.0,15.54728746865294,1.0,0.9981951901186064,0.028487333863491577,0.016522653640825117,Aleph,SDSS,
J000000+000000,0.0,0.0,16.648865174181992,1.0,0.998287471332151,0.04921998906760803,0.028547593659212653,Aleph,SDSS,
J000000+000000,0.0,0.0,16.011999140057014,1.0,1.0016243770926927,0.03564923930935111,0.020676558799423646,Aleph,SDSS,
J000000+000000,0.0,0.0,19.715699247055454,1.0,1.5305616968036742,0.36640365225629107,0.21251411830864883,Aleph,SDSS,
J102614-011627,156.55753841521022,-1.2742410356633098,20.11985969543457,0.05,1.0155423522069145,0.5099231744210561,0.29575544116421254,Mu,SDSS,0.4157448410987854
J011110+011527,17.791466000000014,1.2573686,18.100665356760146,0.05,0.09580281912207253,0.11364552807294473,0.06591440628230794,Aleph,SDSS,0.0566355362534523
J083051+445108,127.71339324381026,44.852162175767425,21.28058433532715,0.05,0.3170873383795665,1.3879996324878092,0.8050397868429294,Phi,SDSS,0.5246880650520325
J084755+011539,131.97818434984498,1.2608033848251758,20.995849609375,0.05,-0.2779521433816913,1.0798803055718231,0.6263305772316573,Phi,SDSS,0.5731945037841797
J000000+000000,0.0,0.0,17.4355651586593,1.0,0.9348245052388319,0.07580560981731876,0.04396725369404488,Aleph,SDSS,
J132214+464938,200.55965582348932,46.82710568830101,21.67464828491211,0.05,-0.47725649557025535,1.9721812776929257,1.1438651410618967,C_plit,SDSS,1.1435019969940186
J000000+000000,0.0,0.0,13.213084058763343,1.0,0.9783361073038742,0.010469958380460737,0.006072575860667227,Aleph,SDSS,
J000000+000000,0.0,0.0,19.434260424488457,1.0,0.7917049780483822,0.29331905340754605,0.17012505097637667,Aleph,SDSS,
J000000+000000,0.0,0.0,15.638744021620369,1.0,1.0184934576458395,0.029753758800035786,0.017257180104020754,Aleph,SDSS,
J000000+000000,0.0,0.0,15.950802123523317,1.0,1.0422574889170766,0.03459514065226537,0.020065181578313915,Aleph,SDSS,
J085611+373952,134.04480452910948,37.66455971157399,20.608505249023438,0.05,-1.2739106855019398,0.7713060012857536,0.447357480745737,Phi,SDSS,0.9110835790634155
J083334+190531,128.38982999999996,19.091832,15.992107044905424,0.05,0.036025476964708154,0.03530252909831824,0.020475466877024576,Phi,SDSS,1.1803326606750488
J000000+000000,0.0,0.0,17.79523077973863,1.0,1.1195721874218825,0.0938722417435049,0.05444590021123284,Aleph,SDSS,
J134717+402748,206.8227556214879,40.46333929470364,21.37519645690918,0.05,0.03540518858218973,1.5095807132860648,0.8755568137059175,C_plit,SDSS,1.6119025945663452
J000000+000000,0.0,0.0,14.717364753014408,1.0,0.9973148303789852,0.01945195367270328,0.0112821331301679,Aleph,SDSS,
J000000+000000,0.0,0.0,17.843210764345713,1.0,1.0429395337580656,0.09667490382387234,0.05607144421784595,Aleph,SDSS,
J214811+221725,327.04458426763534,22.29029426626325,21.539703369140625,0.05,-3.5280496807284365,1.7478904758925993,1.0137764760177075,Omega,SDSS,0.6074987053871155
J220954+142040,332.4731463320861,14.344529813046252,21.22587013244629,0.05,-0.24893824971356643,1.3223690761224576,0.7669740641510253,Zeta,SDSS,0.5751928091049194
J172128+244659,260.36549934347977,24.78296944249517,22.152467727661133,0.05,4.98746709299192,3.0329287150402333,1.7590986547233352,Gamma,SDSS,0.6141999959945679
J000000+000000,0.0,0.0,16.21242026227992,1.0,0.968772112439603,0.03937555462223647,0.02283782168089715,Aleph,SDSS,
J000000+000000,0.0,0.0,16.05007187195588,1.0,1.0638949980297325,0.0363240325477937,0.021067938877720346,Aleph,SDSS,
J140732+535107,211.88125610668877,53.85187094919576,20.557180404663086,0.05,0.0946336976581807,0.738043634559266,0.42806530804437426,Lambda,SDSS,2.0816922187805176
J221332+301424,333.382472298065,30.240056151874693,21.522220611572266,0.05,0.6653827681693343,1.7208177597682368,0.9980743006655773,Zeta,SDSS,2.11163067817688
J095837+174827,149.6532030383802,17.807556745992397,22.827316284179688,0.05,0.42279666073046,5.600294830665899,3.2481710017862206,Phi,SDSS,1.0028694868087769
J230860+285805,347.2490917470725,28.967990490749248,20.522184371948242,0.05,0.30965815580917516,0.7162442053393274,0.4154216390968099,Zeta,SDSS,2.557955741882324
J000000+000000,0.0,0.0,18.35919263123651,1.0,0.9594698727811316,0.13460141941418513,0.07806882326022738,Aleph,SDSS,
J000000+000000,0.0,0.0,13.360890882700915,1.0,0.9772855469278907,0.011065200994861952,0.006417816577019932,Aleph,SDSS,
J000219-034508,0.5804260255991665,-3.7522287992146577,22.19061851501465,0.05,5.3174412686812955,3.1394726990583233,1.8208941654538273,Aleph,SDSS,0.7263595461845398
J000000+000000,0.0,0.0,14.216593987075612,1.0,0.9935188058997854,0.015637554302954125,0.009069781495713391,Aleph,SDSS,
J165356+230651,253.48322147472135,23.11423390382636,21.434568405151367,0.05,1.5785881969629902,1.5914601317158688,0.9230468763952039,Gamma,SDSS,0.47176918387413025
J000000+000000,0.0,0.0,12.44187493773643,1.0,1.0033248770687595,0.009694994817383822,0.005623096994082617,Aleph,SDSS,
J000000+000000,0.0,0.0,19.513278878577694,1.0,1.3922288313134652,0.3120079745268524,0.18096462522557438,Aleph,SDSS,
J103855+483108,159.72830892271102,48.51885752782757,19.950000762939453,0.05,-0.4288597344894017,0.44314165613237083,0.25702216055677507,Mu,SDSS,0.7415900230407715
J000000+000000,0.0,0.0,14.216724818652438,1.0,0.9788955725639352,0.015638425354869954,0.009070286705824573,Aleph,SDSS,
J000000+000000,0.0,0.0,14.943973957066191,1.0,0.9919897921519242,0.021537153397782095,0.012491548970713614,Aleph,SDSS,
J000000+000000,0.0,0.0,14.397231755545363,1.0,1.00172479186054,0.01689925789208671,0.009801569577410293,Aleph,SDSS,
J112551+582723,171.462080841481,58.45644477189135,20.50862693786621,0.05,-0.2911138709887835,0.7079851831253129,0.41063140621268146,Mu,SDSS,0.4662490785121918
J000000+000000,0.0,0.0,14.514866102515953,1.0,0.9690857220805589,0.017787757324039293,0.010316899247942789,Aleph,SDSS,
J000000+000000,0.0,0.0,17.78735741751734,1.0,1.1489099118781738,0.09342212550571605,0.05418483279331531,Aleph,SDSS,
J000000+000000,0.0,0.0,18.930911111528985,1.0,0.9395373055814153,0.2006844676359215,0.11639699122883446,Aleph,SDSS,
J223756+002406,339.4840771030959,0.40170251494511594,23.198684692382812,0.05,15.353084433307517,7.862088201549983,4.560011156898989,Zeta,SDSS,0.7423886060714722
J172908+351835,262.2815823086431,35.309643361828165,21.931211471557617,0.05,-0.1466881288611151,2.483658147936122,1.4405217258029506,Gamma,SDSS,1.199486494064331
J000000+000000,0.0,0.0,15.255955858447123,1.0,1.0375956156866164,0.02485000426839476,0.014413002475668958,Aleph,SDSS,
J111252+152124,168.2185505371038,15.356529210772612,17.964521408081055,0.05,-0.03697007619364308,0.10424413814919714,0.060461600126534336,Mu,SDSS,2.7887330055236816
J095533+242831,148.88613607340622,24.4752463244879,22.812480926513672,0.05,-2.1927759179246626,5.5250286625672915,3.2045166242890293,Phi,SDSS,0.8135343194007874
J000000+000000,0.0,0.0,19.971449227887206,1.0,1.1919273742051963,0.45101599357890065,0.26158927627576234,Aleph,SDSS,
J000000+000000,0.0,0.0,14.713386652350891,1.0,0.9988536462081433,0.019417525706764156,0.01126216490992321,Aleph,SDSS,
J104938+185302,162.40932083574313,18.88400577206849,20.25250816345215,0.7750970098547095,0.4144915585519951,0.569760495836989,0.33046108758545356,Mu,SDSS,-0.0002901610860135406
J085719+561029,134.3292635005303,56.17479397178881,21.967329025268555,0.05,2.7889302535272824,2.5658569974525762,1.4881970585224942,Phi,SDSS,0.6252930164337158
J000000+000000,0.0,0.0,18.311809500097297,1.0,0.9724366798187709,0.130422035917521,0.07564478083216217,Aleph,SDSS,
J113444+085000,173.68504384236778,8.833436874200583,19.685260772705078,0.05,-0.056448678952074574,0.35757663442832266,0.20739444796842713,Mu,SDSS,0.3340914249420166
J223622+292949,339.09054181882584,29.496818295722953,18.998212814331055,0.49910429538195755,0.2756459190434316,0.21082283249896414,0.1222772428493992,Zeta,SDSS,-0.0010035892482846975
J111939+091213,169.91112999999996,9.2035468,14.050572378677316,0.05,0.058294345586927865,0.01457936277727764,0.008456030410821032,Mu,SDSS,0.41263723373413086
J074710+213237,116.79162552595835,21.543665421063128,21.450210571289062,0.05,0.2598817560012267,1.613786881309299,0.9359963911593934,Psi,SDSS,0.5457110404968262
J000000+000000,0.0,0.0,14.054511330119567,1.0,0.9849038265480875,0.01460340649683738,0.00846997576816568,Aleph,SDSS,
J000000+000000,0.0,0.0,17.70226980454754,1.0,0.9160711578123818,0.08872641426930306,0.051461320276195766,Aleph,SDSS,
J213535+050500,323.896083438761,5.083346351924295,20.96953010559082,0.05,-1.4831242248239618,1.0552626027279568,0.6120523095822149,Omega,SDSS,0.5466747283935547
J000000+000000,0.0,0.0,14.044309296819847,1.0,1.013595137188509,0.014541235705598872,0.008433916709247345,Aleph,SDSS,
J023136-053107,37.90160527695825,-5.518601208795942,22.380905151367188,0.05,8.049169646105758,3.7305467380499535,2.1637171080689725,Sigma,SDSS,0.31178924441337585
J000000+000000,0.0,0.0,17.404832790263754,1.0,0.8704783819292716,0.07447274860569451,0.04319419419130282,Aleph,SDSS,
J000000+000000,0.0,0.0,16.55392745840072,1.0,0.9468676257019428,0.046847936214826684,0.027171803004599475,Aleph,SDSS,
J082333+475352,125.8863614814692,47.89771310275073,21.186277389526367,0.05,2.8953086578246263,1.2768944813227154,0.7405987991671749,Phi,SDSS,0.5230512022972107
J111023-025127,167.59545774276882,-2.857417562740492,21.44529914855957,0.05,-1.366624381739583,1.606741957495934,0.9319103353476417,Mu,SDSS,1.0504425764083862
J000000+000000,0.0,0.0,17.580615269005648,1.0,1.0673885373429262,0.08251545553351454,0.047858964209438436,Aleph,SDSS,
J003302-032933,8.259752181764696,-3.492489832838145,19.218425750732422,0.05,-0.20101811084118332,0.24851059397896086,0.1441361445077973,Aleph,SDSS,0.2147226631641388
J000000+000000,0.0,0.0,19.593938960315427,1.0,0.7437204549452476,0.33250299667601885,0.1928517380720909,Aleph,SDSS,
J111250+441131,168.20950471428523,44.191987359870666,19.400341033935547,0.05,0.2956021558702817,0.2856935972035633,0.1657022863780667,Mu,SDSS,0.2996901869773865
J125952+251629,194.96463768100503,25.274857627765716,21.194238662719727,0.05,0.7964397797144912,1.285905983684126,0.745825470536793,C_plit,SDSS,0.6617720127105713
J074324+303651,115.84822749412098,30.614083333640888,19.271976470947266,0.8961394505389829,1.1434506597263099,0.25883839744577225,0.1501262705185479,Psi,SDSS,-0.00011589775385800749
J000000+000000,0.0,0.0,19.41850200947374,1.0,1.139050125886372,0.2897476023661007,0.1680536093723384,Aleph,SDSS,
J135709+383737,209.28860126899863,38.626865495389154,20.771045684814453,0.05,0.874542536117834,0.8875940423209436,0.5148045445461473,C_plit,SDSS,0.27492183446884155
J000000+000000,0.0,0.0,19.431958100525662,1.0,0.9683945094735461,0.29279411324192756,0.16982058568031796,Aleph,SDSS,
J000000+000000,0.0,0.0,17.128999522828963,1.0,0.9175911835940747,0.06372730193883812,0.0369618351245261,Aleph,SDSS,
J213505+000608,323.7702936811007,0.1023163618885843,21.192768096923828,0.05,2.6259492964145235,1.2842364541938256,0.7448571434324188,Omega,SDSS,1.813915729522705
J000000+000000,0.0,0.0,19.363174455647822,1.0,1.022723704801066,0.2775993375675956,0.16100761578920544,Aleph,SDSS,
J015658-015556,29.24352495723413,-1.932092825282346,20.31775665283203,0.05,-0.44574292541372296,0.6019622044878734,0.3491380786029666,Aleph,SDSS,1.6134788990020752
J000000+000000,0.0,0.0,12.496929859160446,1.0,1.0003254090840905,0.009694994817383822,0.005623096994082617,Aleph,SDSS,
J003421+023524,8.585747671618435,2.5899618051391697,22.729692459106445,0.05,-2.1974081229066025,5.123376018073433,2.9715580904825907,Aleph,SDSS,0.8415505290031433
J000000+000000,0.0,0.0,16.87342990480829,1.0,0.9982596370704525,0.05543699654722442,0.03215345799739016,Aleph,SDSS,
J024320+021512,40.835157183913225,2.253348008394611,22.340364456176758,0.05,-1.511370117791678,3.5957943306682023,2.085560711787557,Sigma,SDSS,0.682239830493927
J134016+401751,205.06699785127975,40.29750389133408,20.398672103881836,0.05,0.30769555309773156,0.6446585966536722,0.37390198605912983,C_plit,SDSS,1.3432554006576538
J014931+122043,27.38073994565906,12.345402129794914,21.10623550415039,0.05,1.3967858328675113,1.1898662096621078,0.6901224016040225,Aleph,SDSS,1.475124478340149
J000000+000000,0.0,0.0,16.73863144443021,1.0,0.9026864076215034,0.051597800807922777,0.029926724468595206,Aleph,SDSS,
J000000+000000,0.0,0.0,17.006193478999194,1.0,1.0507584729954746,0.05956580079951128,0.03454816446371654,Aleph,SDSS,
J000000+000000,0.0,0.0,14.668389536702307,1.0,1.020909465220433,0.019033077492145598,0.011039184945444445,Aleph,SDSS,
J000000+000000,0.0,0.0,16.914818775607273,1.0,0.9836043614133945,0.056685325181720786,0.03287748860539805,Aleph,SDSS,
J074144+194742,115.43322999999998,19.79499,17.418286344094668,0.05,0.21595285641237355,0.07505259073051461,0.04353050262369847,Psi,SDSS,1.0454599857330322
J161648+194337,244.19910799387827,19.72685064068116,21.31827735900879,0.05,-0.7646179238379335,1.4351729823720814,0.8324003297758071,Gamma,SDSS,0.5725551247596741
J000000+000000,0.0,0.0,15.814860487782425,1.0,1.021936745600701,0.032381238916599095,0.018781118571627474,Aleph,SDSS,
J000000+000000,0.0,0.0,15.0110591230914,1.0,0.9886167412722884,0.022203873780523686,0.012878246792703739,Aleph,SDSS,
J004552+115805,11.464702468982239,11.968186231769149,22.252605438232422,0.05,-2.0920025619997737,3.320766861378873,1.9260447795997462,Aleph,SDSS,0.6625561118125916
J000000+000000,0.0,0.0,17.913681592108333,1.0,1.0168233285173478,0.10098457943710498,0.05857105607352089,Aleph,SDSS,
J000000+000000,0.0,0.0,14.411865642818157,1.0,1.0095616475455993,0.01700682020815738,0.009863955720731279,Aleph,SDSS,
J000936+275255,2.4003756966790775,27.881954703111447,22.1726016998291,0.05,5.19059172805823,3.088690481290586,1.7914404791485399,Aleph,SDSS,0.7437096238136292
J120656+563336,181.73511077520521,56.56000146666339,20.672361373901367,0.05,0.22221817352980044,0.8149354839576756,0.4726625806954518,C_plit,SDSS,1.5947015285491943
J114552+591459,176.46805190405843,59.24968834128631,21.887250900268555,0.05,3.21933225316843,2.3872281132504938,1.3845923056852862,Mu,SDSS,0.6433788537979126
J221310+274856,333.2917373986569,27.815578386841786,20.47721290588379,0.5833390799574373,0.5669582028377318,0.6892377256290081,0.39975788086482467,Zeta,SDSS,-0.0007142688264138997
J121229+370509,183.11971505946684,37.08576989854727,20.119815826416016,0.05,0.02467142204146959,0.5099045588182699,0.2957446441145965,C_plit,SDSS,0.7303999066352844
J000000+000000,0.0,0.0,15.054978452448267,1.0,0.9695218635382411,0.022653383260640782,0.013138962291171653,Aleph,SDSS,
J133442+193857,203.6757111255677,19.649188858689925,20.51455307006836,0.05,-0.4956924576244766,0.7115826947625208,0.412717962962262,C_plit,SDSS,0.7159755825996399
J111013+432417,167.5539515447737,43.40484017701034,20.638137817382812,0.05,0.2870526467724857,0.7912349119344089,0.4589162489219571,Mu,SDSS,1.91474449634552
J000000+000000,0.0,0.0,13.12082316284068,1.0,1.018201235110921,0.010122798918330995,0.0058712233726319766,Aleph,SDSS,
J151452+355819,228.71482408793463,35.971966880128974,21.40157127380371,0.05,-1.3475482586539744,1.5454025651888244,0.896333487809518,Lambda,SDSS,0.5396209955215454
J000000+000000,0.0,0.0,15.483831048302818,1.0,1.033269222315791,0.027645281748490895,0.01603426341412472,Aleph,SDSS,
J000000+000000,0.0,0.0,13.611749895906541,1.0,0.9886953339715109,0.01219424641432705,0.007072662920309689,Aleph,SDSS,
J000000+000000,0.0,0.0,14.808305443322752,1.0,1.0267562208457008,0.020258969459249303,0.011750202286364596,Aleph,SDSS,
J120153+094022,180.47113555035264,9.672651578778833,20.91918182373047,0.05,0.6397424282120074,1.0097964327441789,0.5856819309916237,C_plit,SDSS,0.44745558500289917
J000000+000000,0.0,0.0,18.076322451990563,1.0,0.9891102363651895,0.11188892925974817,0.06489557897065393,Aleph,SDSS,
J073906+431944,114.77304777156262,43.32881255881198,21.33492660522461,0.05,2.6477194539908435,1.4565361676096855,0.8447909772136174,Psi,SDSS,0.5754752159118652
J142615+095505,216.56053653675096,9.918152865358998,21.180191040039062,0.05,-1.4005456938732594,1.2700495904973346,0.736628762488454,Lambda,SDSS,0.5543135404586792
J004053-025626,10.222233706120335,-2.9404630419301836,21.828510284423828,0.05,-1.763081642622879,2.2643198496961765,1.3133055128237823,Aleph,SDSS,0.5012503862380981
J115554+105255,178.9748617781082,10.881982048129558,16.7982177734375,0.9038535082037145,0.9778844427681576,0.05325349986543837,0.030887029921954252,Mu,SDSS,0.00010637397645041347
J020138+251923,30.410022519443714,25.32313673049065,20.945579528808594,0.05,0.7069895704577848,1.0333721189149487,0.5993558289706702,Sigma,SDSS,2.245624303817749
J161118+530947,242.82424000000003,53.162947,17.328252321109176,0.05,0.051103079345064716,0.07127670219526136,0.04134048727325159,Gamma,SDSS,1.900615930557251
J075844+454754,119.68264130282982,45.79840828422422,21.036426544189453,0.05,0.475072074780065,1.1190194055458955,0.6490312552166193,Psi,SDSS,0.4939139187335968
J223202+315551,338.006715653373,31.93088886056259,22.590585708618164,0.05,4.348096510674131,4.5137733632677675,2.6179885506953045,Zeta,SDSS,0.7459604144096375
J000000+000000,0.0,0.0,16.998755075837835,1.0,1.0515717662769348,0.0593246778796748,0.034408313170211376,Aleph,SDSS,
J000000+000000,0.0,0.0,15.166149848717396,1.0,1.003245297565767,0.02383926545249363,0.013826773962446305,Aleph,SDSS,
J093743+192951,144.43080943878095,19.49736557199195,17.65009117126465,0.6765166373079023,0.6414181584896053,0.08599301180326052,0.04987594684589109,Phi,SDSS,0.00047816024743951857
J000000+000000,0.0,0.0,13.883833023312036,1.0,0.9799823440004336,0.013606428359970705,0.007891728448783008,Aleph,SDSS,
J000000+000000,0.0,0.0,19.114374429365853,1.0,1.3941992976766784,0.22979087638707948,0.1332787083045061,Aleph,SDSS,
J152729+325827,231.87080841634184,32.97429938438734,19.980892181396484,0.05,0.5688987900710234,0.45453174832433013,0.2636284140281115,Lambda,SDSS,0.6558610200881958
J123102+044816,187.759390062729,4.804476557395535,21.447893142700195,0.05,-2.237049779803569,1.6104588049431183,0.9340661068670085,C_plit,SDSS,0.5847590565681458
J000000+000000,0.0,0.0,13.20450519977021,1.0,0.986778398228535,0.010436906111845242,0.0060534055448702405,Aleph,SDSS,
J140005+104832,210.0211549441632,10.808928266964454,22.075986862182617,0.05,-4.260055166989347,2.8302879901154627,1.6415670342669684,Lambda,SDSS,0.6304067969322205
J104135+284703,160.39654124457843,28.784283886220305,22.407066345214844,0.05,-3.9854503411902034,3.8202123116897275,2.215723140780042,Mu,SDSS,0.9992292523384094
J000000+000000,0.0,0.0,18.681062323739752,1.0,0.9633172128632002,0.16782313982753028,0.09733742109996754,Aleph,SDSS,
J013608+223058,24.031364136720185,22.5162165438238,22.99846076965332,0.05,-2.9581394100615808,6.547193624891722,3.797372302437199,Aleph,SDSS,0.7126598358154297
J000000+000000,0.0,0.0,15.542543933959678,1.0,0.9870472180157105,0.028423371131482418,0.0164855552562598,Aleph,SDSS,
